VISITOR, HOME, DATE
"Ravens","Broncos","9-5-2013,20:30"
"Patriots","Bills","9-8-2013,13:00"
"Bengals","Bears","9-8-2013,13:00"
"Dolphins","Browns","9-8-2013,13:00"
"Raiders","Colts","9-8-2013,13:00"
"Chiefs","Jaguars","9-8-2013,13:00"
"Bucs","Jets","9-8-2013,13:00"
"Titans","Steelers","9-8-2013,13:00"
"Falcons","Saints","9-8-2013,13:00"
"Seahawks","Panthers","9-8-2013,13:00"
"Vikings","Lions","9-8-2013,13:00"
"Packers","49ers","9-8-2013,16:25"
"Cardinals","Rams","9-8-2013,16:25"
"Giants","Cowboys","9-8-2013,20:30"
"Eagles","Redskins","9-9-2013,19:10"
"Texans","Chargers","9-9-2013,22:20"
"Jets","Patriots","9-12-2013,20:25"
"Cowboys","Chiefs","9-15-2013,13:00"
"Rams","Falcons","9-15-2013,13:00"
"Chargers","Eagles","9-15-2013,13:00"
"Titans","Texans","9-15-2013,13:00"
"Dolphins","Colts","9-15-2013,13:00"
"Panthers","Bills","9-15-2013,13:00"
"Browns","Ravens","9-15-2013,13:00"
"Redskins","Packers","9-15-2013,13:00"
"Vikings","Bears","9-15-2013,13:00"
"Saints","Bucs","9-15-2013,16:05"
"Lions","Cardinals","9-15-2013,16:05"
"Jaguars","Raiders","9-15-2013,16:25"
"Broncos","Giants","9-15-2013,16:25"
"49ers","Seahawks","9-15-2013,20:30"
"Steelers","Bengals","9-16-2013,20:40"
"Chiefs","Eagles","9-19-2013,20:25"
"Bucs","Patriots","9-22-2013,13:00"
"Cardinals","Saints","9-22-2013,13:00"
"Chargers","Titans","9-22-2013,13:00"
"Packers","Bengals","9-22-2013,13:00"
"Texans","Ravens","9-22-2013,13:00"
"Browns","Vikings","9-22-2013,13:00"
"Giants","Panthers","9-22-2013,13:00"
"Rams","Cowboys","9-22-2013,13:00"
"Lions","Redskins","9-22-2013,13:00"
"Falcons","Dolphins","9-22-2013,16:05"
"Jaguars","Seahawks","9-22-2013,16:25"
"Colts","49ers","9-22-2013,16:25"
"Bills","Jets","9-22-2013,16:25"
"Bears","Steelers","9-22-2013,20:30"
"Raiders","Broncos","9-23-2013,20:40"
"49ers","Rams","9-26-2013,20:25"
"Bears","Lions","9-29-2013,13:00"
"Colts","Jaguars","9-29-2013,13:00"
"Seahawks","Texans","9-29-2013,13:00"
"Bengals","Browns","9-29-2013,13:00"
"Ravens","Bills","9-29-2013,13:00"
"Steelers","Vikings","9-29-2013,13:00"
"Cardinals","Bucs","9-29-2013,13:00"
"Giants","Chiefs","9-29-2013,13:00"
"Jets","Titans","9-29-2013,16:05"
"Cowboys","Chargers","9-29-2013,16:25"
"Redskins","Raiders","9-29-2013,16:25"
"Eagles","Broncos","9-29-2013,16:25"
"Patriots","Falcons","9-29-2013,20:30"
"Dolphins","Saints","9-30-2013,20:40"
"Bills","Browns","10-3-2013,20:25"
"Patriots","Bengals","10-6-2013,13:00"
"Ravens","Dolphins","10-6-2013,13:00"
"Seahawks","Colts","10-6-2013,13:00"
"Chiefs","Titans","10-6-2013,13:00"
"Jaguars","Rams","10-6-2013,13:00"
"Saints","Bears","10-6-2013,13:00"
"Lions","Packers","10-6-2013,13:00"
"Eagles","Giants","10-6-2013,13:00"
"Panthers","Cardinals","10-6-2013,16:05"
"Chargers","Raiders","10-6-2013,16:25"
"Broncos","Cowboys","10-6-2013,16:25"
"Texans","49ers","10-6-2013,20:30"
"Jets","Falcons","10-7-2013,20:40"
"Giants","Bears","10-10-2013,20:25"
"Panthers","Vikings","10-13-2013,13:00"
"Eagles","Bucs","10-13-2013,13:00"
"Steelers","Jets","10-13-2013,13:00"
"Raiders","Chiefs","10-13-2013,13:00"
"Rams","Texans","10-13-2013,13:00"
"Lions","Browns","10-13-2013,13:00"
"Packers","Ravens","10-13-2013,13:00"
"Bengals","Bills","10-13-2013,13:00"
"Jaguars","Broncos","10-13-2013,16:05"
"Titans","Seahawks","10-13-2013,16:05"
"Saints","Patriots","10-13-2013,16:25"
"Cardinals","49ers","10-13-2013,16:25"
"Redskins","Cowboys","10-13-2013,20:30"
"Colts","Chargers","10-14-2013,20:40"
"Seahawks","Cardinals","10-17-2013,20:25"
"Bucs","Falcons","10-20-2013,13:00"
"Patriots","Jets","10-20-2013,13:00"
"Chargers","Jaguars","10-20-2013,13:00"
"Texans","Chiefs","10-20-2013,13:00"
"Bills","Dolphins","10-20-2013,13:00"
"Bengals","Lions","10-20-2013,13:00"
"Cowboys","Eagles","10-20-2013,13:00"
"Rams","Panthers","10-20-2013,13:00"
"Bears","Redskins","10-20-2013,13:00"
"49ers","Titans","10-20-2013,16:05"
"Ravens","Steelers","10-20-2013,16:25"
"Browns","Packers","10-20-2013,16:25"
"Broncos","Colts","10-20-2013,20:30"
"Vikings","Giants","10-21-2013,20:40"
"Panthers","Bucs","10-24-2013,20:25"
"Cowboys","Lions","10-27-2013,13:00"
"Giants","Eagles","10-27-2013,13:00"
"Browns","Chiefs","10-27-2013,13:00"
"Bills","Saints","10-27-2013,13:00"
"49ers","Jaguars","10-27-2013,13:00"
